name,url,type,rank,subscribers,country,language
Українська правда,https://www.pravda.com.ua/rss/,rss,,
Укрінформ,https://www.ukrinform.ua/rss/block-lastnews,rss,,
Ліга.net,https://www.liga.net/news/all/rss.xml,rss,,
РБК-Україна,https://www.rbc.ua/static/rss/all.ukr.rss.xml,rss,,
Суспільне Новини,https://suspilne.media/rss/all.rss,rss,,
Економічна правда,https://www.epravda.com.ua/rss/,rss,,
Європейська правда,https://www.eurointegration.com.ua/rss/,rss,,
Детектор медіа,https://detector.media/rss/,rss,,
Судово-юридична газета,https://sud.ua/rss/news,rss,,
OBOZ.UA,https://www.obozrevatel.com/out/rss/lastnews.xml,rss,,
ТСН,https://tsn.ua/rss/full.rss,rss,,
УНІАН,https://rss.unian.net/site/news_ukr.rss,rss,,
24 Канал,https://24tv.ua/rss/all.xml,rss,,
NV,https://nv.ua/rss/all.xml,rss,,
LB.ua,https://lb.ua/rss/ukr/news.xml,rss,,
Цензор.НЕТ,https://assets.censor.net/rss/censor.net/rss_uk_news.xml,rss,,
ZN.UA,https://zn.ua/ukr/rss/full.rss,rss,,
Радіо Свобода,https://www.radiosvoboda.org/api/,rss,,
Бабель,https://babel.ua/rss.xml,rss,,
Еспресо,https://espreso.tv/rss,rss,,
Гордон,https://gordonua.com/api/media/out/rss/lastnews.xml,rss,,
Труха Україна,https://t.me/s/truexanewsua,telegram,,
УНІАН Telegram,https://t.me/s/uniannet,telegram,,
Оперативний ЗСУ,https://t.me/s/operativnoZSU,telegram,,
Реальна Війна,https://t.me/s/realwarinua,telegram,,
Insider UA,https://t.me/s/insiderUKR,telegram_paid,1,2120000
Лачен пише,https://t.me/s/lachentyt,telegram_paid,2,1590000
Telegram @u_now,https://t.me/s/u_now,telegram_paid,3,1410000
Telegram @ukraina_novosti,https://t.me/s/ukraina_novosti,telegram_paid,4,1340000
Telegram @truexakyiv,https://t.me/s/truexakyiv,telegram_paid,5,866000
Telegram @ssternenko,https://t.me/s/ssternenko,telegram_paid,6,842000
Telegram @deepstateua,https://t.me/s/deepstateua,telegram_paid,7,764000
Telegram @tch_channel,https://t.me/s/tch_channel,telegram_paid,8,749000
Telegram @batalionmonako,https://t.me/s/batalionmonako,telegram_paid,9,715000
Telegram @ogomono,https://t.me/s/ogomono,telegram_paid,10,678000
Telegram @v_zelenskiy_official,https://t.me/s/v_zelenskiy_official,telegram_paid,11,676000
Telegram @robert_magyar,https://t.me/s/robert_magyar,telegram_paid,12,554000
Telegram @hyevuy_dnepr,https://t.me/s/hyevuy_dnepr,telegram_paid,13,525000
Telegram @smolii_ukraine,https://t.me/s/smolii_ukraine,telegram_paid,14,462000
Telegram @dtek_ua,https://t.me/s/dtek_ua,telegram_paid,15,452000
Telegram @our_odessa,https://t.me/s/our_odessa,telegram_paid,16,442000
Украина Сейчас,https://t.me/s/UkraineNow,telegram_paid,17,425000
Telegram @kyivcityofficial,https://t.me/s/kyivcityofficial,telegram_paid,18,402000
Telegram @jolybells,https://t.me/s/jolybells,telegram_paid,19,362000
Telegram @pravda_gerashchenko,https://t.me/s/pravda_gerashchenko,telegram_paid,20,360000
Telegram @mykolaivskaoda,https://t.me/s/mykolaivskaoda,telegram_paid,21,339000
Telegram @kyivoperat,https://t.me/s/kyivoperat,telegram_paid,22,335000
Telegram @tsaplienko,https://t.me/s/tsaplienko,telegram_paid,23,325000
Telegram @odessapublic,https://t.me/s/odessapublic,telegram_paid,24,311000
Telegram @sbukr,https://t.me/s/sbukr,telegram_paid,25,303000
Telegram @dmytrogordon_official,https://t.me/s/dmytrogordon_official,telegram_paid,26,289000
Telegram @khmlv,https://t.me/s/khmlv,telegram_paid,27,286000
Telegram @tryvoga_chomu,https://t.me/s/tryvoga_chomu,telegram_paid,28,280000
Telegram @cherkaskaoda,https://t.me/s/cherkaskaoda,telegram_paid,29,264000
Telegram @o_arestovich_official,https://t.me/s/o_arestovich_official,telegram_paid,30,252000
Telegram @azov_media,https://t.me/s/azov_media,telegram_paid,31,245000
Telegram @ukrzalinfo,https://t.me/s/ukrzalinfo,telegram_paid,32,233000
Telegram @diukraine,https://t.me/s/diukraine,telegram_paid,33,229000
Telegram @zedigital,https://t.me/s/zedigital,telegram_paid,34,224000
Telegram @yigal_levin,https://t.me/s/yigal_levin,telegram_paid,35,221000
Telegram @oleksiihoncharenko,https://t.me/s/oleksiihoncharenko,telegram_paid,36,215000
Telegram @zaluzhnui,https://t.me/s/zaluzhnui,telegram_paid,37,201000
Telegram @getmantsevdanil,https://t.me/s/getmantsevdanil,telegram_paid,38,199000
Telegram @lvivtp,https://t.me/s/lvivtp,telegram_paid,39,196000
Telegram @dneproperatyv,https://t.me/s/dneproperatyv,telegram_paid,40,186000
